paper_id,query_seed,title,year,venue,doi,url,authors,problem_claimed,mechanism,hidden_assumptions,fixed_variables,ignored_failures,less_novel,open_questions,relevance_score,bucket,notes,source
810,human-robot shared control,The Effects of Switching Time on Shared Human-Robot Control,2018,"Volume 1: Advances in Control Design Methods; Advances in Nonlinear Control; Advances in Robotics; Assistive and Rehabilitation Robotics; Automotive Dynamics and Emerging Powertrain Technologies; Automotive Systems; Bio Engineering Applications; Bio-Mechatronics and Physical Human Robot Interaction; Biomedical and Neural Systems; Biomedical and Neural Systems Modeling, Diagnostics, and Healthcare",10.1115/dscc2018-9194,https://doi.org/10.1115/dscc2018-9194,Roberto Belotti; Karl von Ellenrieder,,,,,,,,45,,,crossref
149,control authority,Shared control and authority distribution for robotic teleoperation,2026,,10.70675/faa0a309z8a93z4a80zbfadz5bf5a34e52a0,https://doi.org/10.70675/faa0a309z8a93z4a80zbfadz5bf5a34e52a0,; Rahaf Rahal,,,,,,,,43,,,crossref
492,assistive teleoperation robot,Assistive teleoperation for manipulation tasks,2012,Proceedings of the seventh annual ACM/IEEE international conference on Human-Robot Interaction,10.1145/2157689.2157716,https://doi.org/10.1145/2157689.2157716,Anca D. Dragan; Siddhartha S. Srinivasa,,,,,,,,37,,,crossref
491,assistive teleoperation robot,Assistive teleoperation of robot arms via automatic time-optimal mode switching,2016,2016 11th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri.2016.7451731,https://doi.org/10.1109/hri.2016.7451731,Laura V. Herlant; Rachel M. Holladay; Siddhartha S. Srinivasa,,,,,,,,36,,,crossref
396,shared control robot manipulation,Shared Admittance Control for Human-Robot Co-manipulation based on Operator Intention Estimation,2018,"Proceedings of the 15th International Conference on Informatics in Control, Automation and Robotics",10.5220/0006831800610070,https://doi.org/10.5220/0006831800610070,Jonathan Cacace; Alberto Finzi; Vincenzo Lippiello,,,,,,,,36,,,crossref
397,shared control robot manipulation,Shared Admittance Control for Human-Robot Co-manipulation based on Operator Intention Estimation,2018,"Proceedings of the 15th International Conference on Informatics in Control, Automation and Robotics",10.5220/0006831800710080,https://doi.org/10.5220/0006831800710080,Jonathan Cacace; Alberto Finzi; Vincenzo Lippiello,,,,,,,,36,,,crossref
410,shared control robot manipulation,Intention estimation from gaze and motion features for human-robot shared-control object manipulation,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9982249,https://doi.org/10.1109/iros47612.2022.9982249,Anna Belardinelli; Anirudh Reddy Kondapally; Dirk Ruiken; Daniel Tanneberg; Tomoki Watabe,,,,,,,,36,,,crossref
497,assistive teleoperation robot,LAMS: LLM-Driven Automatic Mode Switching for Assistive Teleoperation,2025,2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri61500.2025.10974127,https://doi.org/10.1109/hri61500.2025.10974127,Yiran Tao; Jehan Yang; Dan Ding; Zackory Erickson,,,,,,,,36,,,crossref
828,human-robot shared control,Evaluating Human–Robot Interaction Algorithms in Shared Autonomy via Quality Diversity Scenario Generation,2022,ACM Transactions on Human-Robot Interaction,10.1145/3476412,https://doi.org/10.1145/3476412,Matthew C. Fontaine; Stefanos Nikolaidis,,,,,,,,35,,,crossref
831,human-robot shared control,Intentional User Adaptation to Shared Control Assistance,2024,Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3610977.3634953,https://doi.org/10.1145/3610977.3634953,Reuben M. Aronson; Elaine Schaertl Short,,,,,,,,35,,,crossref
434,shared control robot manipulation,Adaptive Shared Control for Robot Manipulator Obstacle Avoidance with Dynamic Authority Allocation,2025,Lecture Notes in Networks and Systems,10.1007/978-3-032-09427-8_3,https://doi.org/10.1007/978-3-032-09427-8_3,Yibei Ma; Haozhou Liu; Zhangguo Yu,,,,,,,,35,,,crossref
814,human-robot shared control,Giving Sense to Inputs: Toward an Accessible Control Framework for Shared Autonomy,2025,2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri61500.2025.10973914,https://doi.org/10.1109/hri61500.2025.10973914,Shalutha Rajapakshe; Jean-Marc Odobez; Emmanuel Senft,,,,,,,,35,,,crossref
475,shared control robot manipulation,Enhancing scientific exploration of the deep sea through shared autonomy in remote manipulation,2023,Science Robotics,10.1126/scirobotics.adi5227,https://doi.org/10.1126/scirobotics.adi5227,Amy Phung; Gideon Billings; Andrea F. Daniele; Matthew R. Walter; Richard Camilli,,,,,,,,34,,,crossref
935,physical human robot interaction autonomy,A Human-Centred Tri-Region Shared Autonomy Framework for Adaptive and Safe Human–Robot Interaction,2026,Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3776734.3794536,https://doi.org/10.1145/3776734.3794536,Abolfazl Zaraki; Hamed Rahimi Nohooji; Maryam Banitalebi Dehkordi; Holger Voos,,,,,,,,34,,,crossref
